,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
747,2018-01-17,11413.432151660581,9764.226339687928,12625.682842445167,11413.432151660581,11413.432151660581,-177.55295257706706,-177.55295257706706,-177.55295257706706,1.3301520081821083,1.3301520081821083,1.3301520081821083,-178.88310458524913,-178.88310458524913,-178.88310458524913,0.0,0.0,0.0,11235.879199083514
748,2018-01-18,11401.926598234886,9723.458574623222,12588.358619481447,11401.926598234886,11401.926598234886,-226.66149006442373,-226.66149006442373,-226.66149006442373,-18.355879991444255,-18.355879991444255,-18.355879991444255,-208.30561007297948,-208.30561007297948,-208.30561007297948,0.0,0.0,0.0,11175.265108170463
749,2018-01-19,11390.421044809189,9804.884850168659,12577.430196097954,11390.421044809189,11390.421044809189,-243.73840734763914,-243.73840734763914,-243.73840734763914,-3.459731463557575,-3.459731463557575,-3.459731463557575,-240.27867588408157,-240.27867588408157,-240.27867588408157,0.0,0.0,0.0,11146.68263746155
750,2018-01-20,11378.915491383492,9779.440124924406,12511.263934878521,11378.915491383492,11378.915491383492,-259.6271879180393,-259.6271879180393,-259.6271879180393,15.1505668578377,15.1505668578377,15.1505668578377,-274.77775477587693,-274.77775477587693,-274.77775477587693,0.0,0.0,0.0,11119.288303465453
751,2018-01-21,11367.409937957793,9690.318980468024,12312.258901976738,11367.409937957793,11367.409937957793,-320.70028981361145,-320.70028981361145,-320.70028981361145,-9.03974873993843,-9.03974873993843,-9.03974873993843,-311.660541073673,-311.660541073673,-311.660541073673,0.0,0.0,0.0,11046.709648144182
752,2018-01-22,11355.904384532098,9507.842623984736,12422.143866293158,11355.904384532098,11355.904384532098,-332.130782971142,-332.130782971142,-332.130782971142,18.536304828897006,18.536304828897006,18.536304828897006,-350.667087800039,-350.667087800039,-350.667087800039,0.0,0.0,0.0,11023.773601560955
753,2018-01-23,11344.3988311064,9548.119857071497,12252.023420957701,11344.3988311064,11344.3988311064,-395.5854398064899,-395.5854398064899,-395.5854398064899,-4.161663500149725,-4.161663500149725,-4.161663500149725,-391.42377630634013,-391.42377630634013,-391.42377630634013,0.0,0.0,0.0,10948.813391299911
754,2018-01-24,11332.893277680705,9418.263969142938,12334.666147987324,11332.893277680705,11332.893277680705,-432.1208941139886,-432.1208941139886,-432.1208941139886,1.330152008260358,1.330152008260358,1.330152008260358,-433.4510461222489,-433.4510461222489,-433.4510461222489,0.0,0.0,0.0,10900.772383566717
755,2018-01-25,11321.387724255006,9473.743855868315,12249.772343453526,11321.387724255006,11321.387724255006,-494.5305629526788,-494.5305629526788,-494.5305629526788,-18.355879991328003,-18.355879991328003,-18.355879991328003,-476.17468296135087,-476.17468296135087,-476.17468296135087,0.0,0.0,0.0,10826.857161302327
756,2018-01-26,11309.882170829309,9415.472379309467,12269.765903795807,11309.882170829309,11309.882170829309,-522.4000901960574,-522.4000901960574,-522.4000901960574,-3.459731463507125,-3.459731463507125,-3.459731463507125,-518.9403587325502,-518.9403587325502,-518.9403587325502,0.0,0.0,0.0,10787.482080633252
757,2018-01-27,11298.376617403612,9276.04394590846,12191.90039624086,11298.376617403612,11298.376617403612,-545.880455043868,-545.880455043868,-545.880455043868,15.150566857930192,15.150566857930192,15.150566857930192,-561.0310219017982,-561.0310219017982,-561.0310219017982,0.0,0.0,0.0,10752.496162359745
758,2018-01-28,11286.871063977916,9222.664936065697,11918.348947167677,11286.871063977916,11286.871063977916,-610.7264010868549,-610.7264010868549,-610.7264010868549,-9.039748739950934,-9.039748739950934,-9.039748739950934,-601.6866523469041,-601.6866523469041,-601.6866523469041,0.0,0.0,0.0,10676.144662891062
759,2018-01-29,11275.365510552218,9209.040174134609,11993.498639731548,11275.365510552218,11275.365510552218,-621.5895194568546,-621.5895194568546,-621.5895194568546,18.536304828888273,18.536304828888273,18.536304828888273,-640.125824285743,-640.125824285743,-640.125824285743,0.0,0.0,0.0,10653.775991095363
760,2018-01-30,11263.859957126522,9191.968537785577,11988.868939862487,11263.859957126522,11263.859957126522,-679.730129443854,-679.730129443854,-679.730129443854,-4.161663500146142,-4.161663500146142,-4.161663500146142,-675.5684659437078,-675.5684659437078,-675.5684659437078,0.0,0.0,0.0,10584.129827682667
761,2018-01-31,11252.354403700823,9017.679483613969,12069.029629367691,11252.354403700823,11252.354403700823,-705.9290148853598,-705.9290148853598,-705.9290148853598,1.3301520083030278,1.3301520083030278,1.3301520083030278,-707.2591668936628,-707.2591668936628,-707.2591668936628,0.0,0.0,0.0,10546.425388815464
762,2018-02-01,11240.848850275128,9161.824237640372,11860.045481119603,11240.848850275128,11240.848850275128,-752.8462444904713,-752.8462444904713,-752.8462444904713,-18.35587999139495,-18.35587999139495,-18.35587999139495,-734.4903644990765,-734.4903644990765,-734.4903644990765,0.0,0.0,0.0,10488.002605784657
763,2018-02-02,11229.34329684943,9107.921365537655,11872.205616405072,11229.34329684943,11229.34329684943,-760.084471666981,-760.084471666981,-760.084471666981,-3.4597314635160896,-3.4597314635160896,-3.4597314635160896,-756.6247402034651,-756.6247402034651,-756.6247402034651,0.0,0.0,0.0,10469.258825182449
764,2018-02-03,11200.02392537931,9057.54459559717,11854.884687752541,11200.02392537931,11200.02392537931,-757.9656076595264,-757.9656076595264,-757.9656076595264,15.150566857873082,15.150566857873082,15.150566857873082,-773.1161745173996,-773.1161745173996,-773.1161745173996,0.0,0.0,0.0,10442.058317719784
765,2018-02-04,11170.704553909185,8972.082106890071,11849.190531809167,11170.704553909185,11170.704553909185,-792.5683947370129,-792.5683947370129,-792.5683947370129,-9.039748739912552,-9.039748739912552,-9.039748739912552,-783.5286459971005,-783.5286459971005,-783.5286459971005,0.0,0.0,0.0,10378.136159172172
766,2018-02-05,11141.385182439064,8873.676938886842,11744.2695626494,11141.385182439064,11141.385182439064,-769.0162084179378,-769.0162084179378,-769.0162084179378,18.53630482889444,18.53630482889444,18.53630482889444,-787.5525132468322,-787.5525132468322,-787.5525132468322,0.0,0.0,0.0,10372.368974021127
767,2018-02-06,11112.065810968943,8817.792543060616,11664.003544120726,11112.065810968943,11112.065810968943,-789.1793520301821,-789.1793520301821,-789.1793520301821,-4.16166350018066,-4.16166350018066,-4.16166350018066,-785.0176885300016,-785.0176885300016,-785.0176885300016,0.0,0.0,0.0,10322.886458938761
768,2018-02-07,11082.746439498822,8930.81279495642,11888.718273138755,11082.746439498822,11082.746439498822,-774.5731429972366,-774.5731429972366,-774.5731429972366,1.3301520082017468,1.3301520082017468,1.3301520082017468,-775.9032950054384,-775.9032950054384,-775.9032950054384,0.0,0.0,0.0,10308.173296501585
769,2018-02-08,11053.4270680287,8855.701870069835,11713.957591139613,11053.4270680287,11053.4270680287,-778.6993745850989,-778.6993745850989,-778.6993745850989,-18.355879991370298,-18.355879991370298,-18.355879991370298,-760.3434945937287,-760.3434945937287,-760.3434945937287,0.0,0.0,0.0,10274.727693443601
770,2018-02-09,11024.107696558574,8865.583339237657,11616.612787219921,11024.107696558574,11024.107696558574,-742.0890088542644,-742.0890088542644,-742.0890088542644,-3.459731463558715,-3.459731463558715,-3.459731463558715,-738.6292773907057,-738.6292773907057,-738.6292773907057,0.0,0.0,0.0,10282.01868770431
771,2018-02-10,10994.788325088453,9001.9425339269,11623.09762438534,10994.788325088453,10994.788325088453,-696.0555466403225,-696.0555466403225,-696.0555466403225,15.15056685788945,15.15056685788945,15.15056685788945,-711.2061134982121,-711.2061134982121,-711.2061134982121,0.0,0.0,0.0,10298.732778448131
772,2018-02-11,10965.468953618332,8912.392417910562,11577.204687145,10965.468953618332,10965.468953618332,-687.7072298203412,-687.7072298203412,-687.7072298203412,-9.03974873996915,-9.03974873996915,-9.03974873996915,-678.6674810803722,-678.6674810803722,-678.6674810803722,0.0,0.0,0.0,10277.76172379799
773,2018-02-12,10936.149582148211,8965.289978195291,11760.69053524623,10936.149582148211,10936.149582148211,-623.2080924357307,-623.2080924357307,-623.2080924357307,18.536304828882383,18.536304828882383,18.536304828882383,-641.7443972646131,-641.7443972646131,-641.7443972646131,0.0,0.0,0.0,10312.94148971248
774,2018-02-13,10906.83021067809,8913.838548836007,11662.4655692709,10906.83021067809,10906.83021067809,-605.4528515562539,-605.4528515562539,-605.4528515562539,-4.161663500138981,-4.161663500138981,-4.161663500138981,-601.291188056115,-601.291188056115,-601.291188056115,0.0,0.0,0.0,10301.377359121836
775,2018-02-14,10877.51083920797,9034.225865028204,11718.797125229665,10877.51083920797,10877.51083920797,-556.9376847009796,-556.9376847009796,-556.9376847009796,1.3301520082799976,1.3301520082799976,1.3301520082799976,-558.2678367092595,-558.2678367092595,-558.2678367092595,0.0,0.0,0.0,10320.57315450699
776,2018-02-15,10848.191467737843,9045.435505507518,11760.574940444365,10848.191467737843,10848.191467737843,-532.0752241428385,-532.0752241428385,-532.0752241428385,-18.35587999135611,-18.35587999135611,-18.35587999135611,-513.7193441514823,-513.7193441514823,-513.7193441514823,0.0,0.0,0.0,10316.116243595005
